numero_noches;libre_salida_noches;mananas_tardes;vacaciones;libres_disposicion;otros_libres_festivos_domingos_variable;jornada_teorica;jornada_realizar
0;0;217;30;8;110;1519;1519
1;1;215;30;8;110;1518;1515
2;2;214;30;8;109;1518;1518
3;3;212;30;8;109;1517;1514
4;4;211;30;8;108;1516;1517
5;5;209;30;8;108;1516;1513
6;6;208;30;8;107;1515;1516
7;7;206;30;8;107;1514;1512
8;8;205;30;8;106;1514;1515
9;9;203;30;8;106;1513;1511
10;10;202;30;8;105;1512;1514
11;11;200;30;8;105;1512;1510
12;12;199;30;8;104;1511;1513
13;13;197;30;8;104;1510;1509
14;14;196;30;8;103;1510;1512
15;15;194;30;8;103;1509;1508
16;16;193;30;8;102;1508;1511
17;17;191;30;8;102;1508;1507
18;18;190;30;8;101;1507;1510
19;19;188;30;8;101;1506;1506
20;20;187;30;8;100;1506;1509
21;21;185;30;8;100;1505;1505
22;22;183;30;8;100;1504;1501
23;23;182;30;8;99;1504;1504
24;24;180;30;8;99;1503;1500
25;25;179;30;8;98;1502;1503
26;26;177;30;8;98;1501;1499
27;27;176;30;8;97;1501;1502
28;28;174;30;8;97;1500;1498
29;29;173;30;8;96;1499;1501
30;30;171;30;8;96;1498;1497
31;31;170;30;8;95;1498;1500
32;32;168;30;8;95;1497;1496
33;33;167;30;8;94;1497;1499
34;34;165;30;8;94;1496;1495
35;35;164;30;8;93;1495;1498
36;36;162;30;8;93;1495;1494
37;37;161;30;8;92;1494;1497
38;38;159;30;8;92;1493;1493
39;39;158;30;8;91;1493;1496
40;40;156;30;8;91;1492;1492
41;41;154;30;8;91;1491;1488
42;42;153;30;8;90;1491;1491
43;43;151;30;8;90;1490;1487
44;44;150;30;8;89;1490;1490
45;45;148;30;8;89;1489;1486
46;46;147;30;8;88;1489;1489
47;47;146;30;8;87;1489;1492
48;48;144;30;8;87;1488;1488
49;49;143;30;8;86;1488;1491
50;50;141;30;8;86;1487;1487
51;51;140;30;8;85;1487;1490
52;52;138;30;8;85;1487;1486
53;53;137;30;8;84;1486;1489
54;54;135;30;8;84;1486;1485
55;55;134;30;8;83;1485;1488
56;56;132;30;8;83;1485;1484
57;57;131;30;8;82;1485;1487
58;58;129;30;8;82;1484;1483
59;59;128;30;8;81;1484;1486
60;60;126;30;8;81;1483;1482
61;61;125;30;8;80;1483;1485
62;62;123;30;8;80;1483;1481
63;63;122;30;8;79;1482;1484
64;64;120;30;8;79;1482;1480
65;65;119;30;8;78;1481;1483
66;66;117;30;8;78;1481;1479
67;67;116;30;8;77;1481;1482
68;68;114;30;8;77;1480;1478
69;69;113;30;8;76;1480;1481
70;70;111;30;8;76;1479;1477
71;71;110;30;8;75;1479;1480
72;72;108;30;8;75;1478;1476
73;73;107;30;8;74;1478;1479
74;74;105;30;8;74;1478;1475
75;75;104;30;8;73;1477;1478
76;76;102;30;8;73;1477;1474
77;77;101;30;8;72;1476;1477
78;78;99;30;8;72;1476;1473
79;79;98;30;8;71;1476;1476
80;80;96;30;8;71;1475;1472
81;81;95;30;8;70;1475;1475
82;82;93;30;8;70;1474;1471
83;83;92;30;8;69;1474;1474
84;84;91;30;8;68;1474;1477
85;85;89;30;8;68;1473;1473
86;86;88;30;8;67;1473;1476
87;87;86;30;8;67;1472;1472
88;88;85;30;8;66;1472;1475
89;89;83;30;8;66;1472;1471
90;90;82;30;8;65;1471;1474
91;91;80;30;8;65;1471;1470
92;92;79;30;8;64;1470;1473
93;93;77;30;8;64;1470;1469
94;94;76;30;8;63;1470;1472
95;95;74;30;8;63;1469;1468
96;96;73;30;8;62;1469;1471
97;97;71;30;8;62;1468;1467
98;98;70;30;8;61;1468;1470
99;99;68;30;8;61;1468;1466
100;100;67;30;8;60;1467;1469
101;101;65;30;8;60;1467;1465
102;102;64;30;8;59;1466;1468
103;103;62;30;8;59;1466;1464
104;104;61;30;8;58;1465;1467
105;105;59;30;8;58;1465;1463
106;106;58;30;8;57;1465;1466
107;107;56;30;8;57;1464;1462
108;108;55;30;8;56;1464;1465
109;109;53;30;8;56;1463;1461
110;110;52;30;8;55;1463;1464
111;111;50;30;8;55;1463;1460
112;112;49;30;8;54;1462;1463
113;113;47;30;8;54;1462;1459
114;114;46;30;8;53;1461;1462
115;115;44;30;8;53;1461;1458
116;116;43;30;8;52;1461;1461
117;117;41;30;8;52;1460;1457
118;118;40;30;8;51;1460;1460
119;119;38;30;8;51;1459;1456
120;120;37;30;8;50;1459;1459
121;121;36;30;8;49;1459;1462
122;122;34;30;8;49;1458;1458
123;123;33;30;8;48;1458;1461
124;124;31;30;8;48;1457;1457
125;125;30;30;8;47;1457;1460
126;126;28;30;8;47;1457;1456
127;127;27;30;8;46;1456;1459
128;128;25;30;8;46;1456;1455
129;129;24;30;8;45;1455;1458
130;130;22;30;8;45;1455;1454
131;131;21;30;8;44;1454;1457
132;132;19;30;8;44;1454;1453
133;133;18;30;8;43;1454;1456
134;134;16;30;8;43;1453;1452
135;135;15;30;8;42;1452;1455
136;136;13;30;8;42;1452;1451
137;137;12;30;8;41;1452;1454
138;138;10;30;8;41;1452;1450
139;139;9;30;8;40;1451;1453
140;140;7;30;8;40;1451;1449
141;141;6;30;8;39;1450;1452
142;142;4;30;8;39;1450;1448
143;143;3;30;8;38;1450;1451
144;144;1;30;8;38;1449;1447
145;145;0;30;8;37;1449;1450
